IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.119.32,4,4,0.00,170.92,12.20
162.159.40.126,4,4,0.00,169.38,6.34
172.64.80.75,4,4,0.00,170.14,4.52
104.16.125.162,4,4,0.00,170.68,4.11
172.64.231.114,4,4,0.00,165.70,2.06
104.16.41.126,4,4,0.00,171.19,1.95
104.16.118.74,4,4,0.00,170.71,1.90
104.16.122.120,4,4,0.00,172.90,1.43
104.19.7.209,4,4,0.00,172.70,0.27
104.16.189.109,4,4,0.00,168.03,0.00
