IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.137.193,8443,true,SJC,North America,San Jose,174 ms,8658 kB/s
192.9.250.241,443,true,SJC,North America,San Jose,185 ms,7477 kB/s
193.123.235.59,443,true,ICN,Asia Pacific,Seoul,196 ms,6401 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,263 ms,5304 kB/s
141.148.237.123,443,true,FRA,Europe,Frankfurt,268 ms,5291 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,268 ms,4885 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,195 ms,4136 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,271 ms,4035 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,269 ms,3941 kB/s
141.147.85.167,8443,true,LHR,Europe,London,291 ms,3867 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,247 ms,3770 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,274 ms,3708 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,295 ms,3416 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,287 ms,3388 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,260 ms,3378 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,259 ms,3304 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,297 ms,3014 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,287 ms,2969 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,293 ms,2719 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,270 ms,2686 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,254 ms,2531 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,247 ms,2147 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,230 ms,2123 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,268 ms,1686 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,249 ms,1670 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,269 ms,1596 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,231 ms,1582 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,272 ms,1574 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,356 ms,1375 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,258 ms,1324 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,269 ms,1302 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,264 ms,1235 kB/s
152.70.155.147,8443,true,LAX,North America,Los Angeles,268 ms,1071 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,370 ms,1052 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,320 ms,947 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,253 ms,937 kB/s
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,201 ms,883 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,348 ms,534 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,369 ms,227 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,370 ms,211 kB/s
138.3.222.33,443,true,NRT,Asia Pacific,Tokyo,142 ms,189 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,264 ms,187 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,358 ms,134 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,160 ms,30 kB/s
129.80.123.71,443,true,IAD,North America,Ashburn,230 ms,0 kB/s
