IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.229.45,4,4,0.00,85.25,16.30
172.64.34.133,4,4,0.00,106.31,15.88
172.64.33.253,4,4,0.00,116.80,15.75
172.64.48.122,4,4,0.00,116.02,15.51
172.64.32.6,4,4,0.00,128.31,15.46
172.64.41.165,4,4,0.00,119.21,15.24
172.64.52.40,4,4,0.00,89.31,14.04
172.64.53.35,4,4,0.00,90.86,9.96
172.64.47.49,4,4,0.00,124.56,0.00
172.64.46.71,4,4,0.00,128.91,0.00
